Run folder,Model,Effort,Condition,Polish (1-5),Color & typography (1-5),Layout & hierarchy (1-5),Professional feel (1-5),Facet mean,Holistic rating (1-5),Functional score (/42)
claude_opus_4.7_high,Opus 4.7,High,base,3,3,3,3,3.0,3,42
claude_opus_4.7_high_run_2,Opus 4.7,High,base,3,3,3,3,3.0,3,41
claude_opus_4.7_high_run_3,Opus 4.7,High,base,3,3,3,3,3.0,3,41
claude_opus_4.7_high_run_4,Opus 4.7,High,base,3,3,3,3,3.0,3,41
claude_opus_4.7_high_run_5,Opus 4.7,High,base,3,3,3,3,3.0,3,39
claude_opus_4.7_high_run_6,Opus 4.7,High,base,3,3,3,3,3.0,3,42
claude_opus_4.7_with_playwright_high,Opus 4.7,High,+Playwright,3,3,3,3,3.0,3,42
claude_opus_4.7_with_playwright_high_run_2,Opus 4.7,High,+Playwright,3,3,3,3,3.0,3,42
claude_opus_4.7_with_playwright_high_run_3,Opus 4.7,High,+Playwright,3,3,3,3,3.0,3,42
claude_opus_4.7_with_playwright_high_run_4,Opus 4.7,High,+Playwright,3,3,3,3,3.0,3,41
claude_opus_4.7_with_playwright_high_run_5,Opus 4.7,High,+Playwright,3,3,3,3,3.0,3,41
claude_opus_4.7_with_playwright_high_run_6,Opus 4.7,High,+Playwright,3,3,3,3,3.0,3,41
claude_opus_4.7_high_with_antigravity_prompt,Opus 4.7,High,design prompt,5,5,5,5,5.0,5,41
claude_opus_4.7_high_with_antigravity_prompt_run_2,Opus 4.7,High,design prompt,5,5,5,5,5.0,5,41
claude_opus_4.7_high_with_antigravity_prompt_run_3,Opus 4.7,High,design prompt,5,5,5,5,5.0,5,41
claude_opus_4.7_high_with_antigravity_prompt_run_4,Opus 4.7,High,design prompt,4,5,4,4,4.25,4,39
claude_opus_4.7_high_with_antigravity_prompt_run_5,Opus 4.7,High,design prompt,5,5,5,5,5.0,5,40
claude_opus_4.7_high_with_antigravity_prompt_run_6,Opus 4.7,High,design prompt,5,5,5,5,5.0,5,41
claude_opus_4.7_xhigh,Opus 4.7,xHigh,base,3,3,3,3,3.0,3,42
claude_opus_4.7_xhigh_run_2,Opus 4.7,xHigh,base,3,3,3,3,3.0,3,42
claude_opus_4.7_xhigh_run_3,Opus 4.7,xHigh,base,3,3,3,3,3.0,3,42
claude_opus_4.7_xhigh_run_4,Opus 4.7,xHigh,base,3,3,3,3,3.0,3,42
claude_opus_4.7_xhigh_run_5,Opus 4.7,xHigh,base,3,3,3,3,3.0,3,42
claude_opus_4.7_xhigh_run_6,Opus 4.7,xHigh,base,3,3,3,3,3.0,3,42
claude_opus_4.7_with_playwright_xhigh,Opus 4.7,xHigh,+Playwright,3,3,3,3,3.0,3,42
claude_opus_4.7_with_playwright_xhigh_run_2,Opus 4.7,xHigh,+Playwright,3,3,3,3,3.0,3,42
claude_opus_4.7_with_playwright_xhigh_run_3,Opus 4.7,xHigh,+Playwright,3,3,3,3,3.0,3,42
claude_opus_4.7_with_playwright_xhigh_run_4,Opus 4.7,xHigh,+Playwright,3,3,3,3,3.0,3,42
claude_opus_4.7_with_playwright_xhigh_run_5,Opus 4.7,xHigh,+Playwright,3,3,3,3,3.0,3,42
claude_opus_4.7_with_playwright_xhigh_run_6,Opus 4.7,xHigh,+Playwright,3,3,3,3,3.0,3,42
claude_opus_4.7_xhigh_with_antigravity_prompt,Opus 4.7,xHigh,design prompt,5,5,5,5,5.0,5,42
claude_opus_4.7_xhigh_with_antigravity_prompt_run_2,Opus 4.7,xHigh,design prompt,5,5,5,5,5.0,5,42
claude_opus_4.7_xhigh_with_antigravity_prompt_run_3,Opus 4.7,xHigh,design prompt,5,5,5,5,5.0,5,40
claude_opus_4.7_xhigh_with_antigravity_prompt_run_4,Opus 4.7,xHigh,design prompt,5,5,5,5,5.0,5,42
claude_opus_4.7_xhigh_with_antigravity_prompt_run_5,Opus 4.7,xHigh,design prompt,4,5,4,4,4.25,4,42
