Run folder,Aesthetic (1-5)
antigravity_gemini3_flash,3
antigravity_gemini_3.1_pro_high,2
antigravity_gemini_3.1_pro_low,3
antigravity_opus_4.6,3
antigravity_sonnet_4.6,4
claude_opus_4.6_high,3
claude_opus_4.6_high_run_1,3
claude_opus_4.6_high_run_2,3
claude_opus_4.6_high_run_3,3
claude_opus_4.6_high_run_4,3
claude_opus_4.6_high_run_5,3
claude_opus_4.6_high_run_6,3
claude_opus_4.6_high_with_antigravity_prompt,4
claude_opus_4.6_high_with_antigravity_prompt_run_2,4
claude_opus_4.6_high_with_antigravity_prompt_run_3,4
claude_opus_4.6_high_with_antigravity_prompt_run_4,4
claude_opus_4.6_high_with_antigravity_prompt_run_5,5
claude_opus_4.6_high_with_antigravity_prompt_run_6,4
claude_opus_4.6_with_playwright_high,3
claude_opus_4.6_with_playwright_high_run_2,3
claude_opus_4.6_with_playwright_high_run_3,3
claude_opus_4.6_with_playwright_high_run_4,3
claude_opus_4.6_with_playwright_high_run_5,3
claude_opus_4.6_with_playwright_high_run_6,3
claude_opus_4.6_with_playwright_high_run_7,3
claude_opus_4.7_high,3
claude_opus_4.7_high_run_2,3
claude_opus_4.7_high_run_3,3
claude_opus_4.7_high_run_4,3
claude_opus_4.7_high_run_5,3
claude_opus_4.7_high_run_6,3
claude_opus_4.7_high_with_antigravity_prompt,5
claude_opus_4.7_high_with_antigravity_prompt_run_2,5
claude_opus_4.7_high_with_antigravity_prompt_run_3,5
claude_opus_4.7_high_with_antigravity_prompt_run_4,4
claude_opus_4.7_high_with_antigravity_prompt_run_5,5
claude_opus_4.7_high_with_antigravity_prompt_run_6,5
claude_opus_4.7_with_playwright_high,3
claude_opus_4.7_with_playwright_high_run_2,3
claude_opus_4.7_with_playwright_high_run_3,3
claude_opus_4.7_with_playwright_high_run_4,3
claude_opus_4.7_with_playwright_high_run_5,3
claude_opus_4.7_with_playwright_high_run_6,3
claude_opus_4.7_with_playwright_xhigh,3
claude_opus_4.7_with_playwright_xhigh_run_2,3
claude_opus_4.7_with_playwright_xhigh_run_3,3
claude_opus_4.7_with_playwright_xhigh_run_4,3
claude_opus_4.7_with_playwright_xhigh_run_5,3
claude_opus_4.7_with_playwright_xhigh_run_6,3
claude_opus_4.7_xhigh,3
claude_opus_4.7_xhigh_run_2,3
claude_opus_4.7_xhigh_run_3,3
claude_opus_4.7_xhigh_run_4,3
claude_opus_4.7_xhigh_run_5,3
claude_opus_4.7_xhigh_run_6,3
claude_opus_4.7_xhigh_with_antigravity_prompt,5
claude_opus_4.7_xhigh_with_antigravity_prompt_run_2,5
claude_opus_4.7_xhigh_with_antigravity_prompt_run_3,5
claude_opus_4.7_xhigh_with_antigravity_prompt_run_4,5
claude_opus_4.7_xhigh_with_antigravity_prompt_run_5,4
claude_opus_4.7_xhigh_with_antigravity_prompt_run_6,5
claude_qwen_3.6_high_with_playwright,3
claude_qwen_coder_next_high_with_playwright,3
claude_sonnet_4.6_high,3
claude_sonnet_4.6_high_run_2,3
claude_sonnet_4.6_high_run_3,3
claude_sonnet_4.6_high_with_antigravity_prompt,4
claude_sonnet_4.6_high_with_antigravity_prompt_run_2,4
claude_sonnet_4.6_high_with_antigravity_prompt_run_3,4
claude_sonnet_4.6_max_with_antigravity_prompt,5
claude_sonnet_4.6_with_playwright_high,3
claude_sonnet_4.6_with_playwright_high_run_2,3
claude_opus_4.6_high_abridged_prompt,4
claude_opus_4.6_high_abridged_prompt_run_2,4
claude_opus_4.6_high_abridged_prompt_run_3,4
claude_opus_4.6_high_abridged_prompt_run_4,4
claude_opus_4.6_high_abridged_prompt_run_5,4
claude_opus_4.6_high_abridged_prompt_run_6,4
claude_opus_4.7_high_abridged_prompt,5
claude_opus_4.7_high_abridged_prompt_run_2,5
claude_opus_4.7_high_abridged_prompt_run_3,5
claude_opus_4.7_high_abridged_prompt_run_4,5
claude_opus_4.7_high_abridged_prompt_run_5,5
claude_opus_4.7_high_abridged_prompt_run_6,5
claude_opus_4.7_xhigh_abridged_prompt,5
claude_opus_4.7_xhigh_abridged_prompt_run_2,5
claude_opus_4.7_xhigh_abridged_prompt_run_3,5
claude_opus_4.7_xhigh_abridged_prompt_run_4,5
claude_opus_4.7_xhigh_abridged_prompt_run_5,5
claude_opus_4.7_xhigh_abridged_prompt_run_6,5
